Date,Close,Date,Close,Date,Close
11/22/2023 16:00:00,191.31,11/22/2023 16:00:00,455.02,11/22/2023 16:00:00,390.06
11/24/2023 13:05:00,189.97,11/24/2023 13:15:00,455.3,11/24/2023 13:05:00,389.51
11/27/2023 16:00:00,189.79,11/27/2023 16:00:00,454.48,11/27/2023 16:00:00,389.17
11/28/2023 16:00:00,190.4,11/28/2023 16:00:00,454.93,11/28/2023 16:00:00,390.19
11/29/2023 16:00:00,189.37,11/29/2023 16:00:00,454.61,11/29/2023 16:00:00,389.81
11/30/2023 16:00:00,189.95,11/30/2023 16:00:00,456.4,11/30/2023 16:00:00,388.83
12/1/2023 16:00:00,191.24,12/1/2023 16:00:00,459.1,12/1/2023 16:00:00,389.94
12/4/2023 16:00:00,189.43,12/4/2023 16:00:00,456.69,12/4/2023 16:00:00,386.32
12/5/2023 16:00:00,193.42,12/5/2023 16:00:00,456.6,12/5/2023 16:00:00,387.29
12/6/2023 16:00:00,192.32,12/6/2023 16:00:00,454.76,12/6/2023 16:00:00,385.05
12/7/2023 16:00:00,194.27,12/7/2023 16:00:00,458.23,12/7/2023 16:00:00,390.43
12/8/2023 16:00:00,195.71,12/8/2023 16:00:00,460.2,12/8/2023 16:00:00,392.17
12/11/2023 16:00:00,193.18,12/11/2023 16:00:00,461.99,12/11/2023 16:00:00,395.52
12/12/2023 16:00:00,194.71,12/12/2023 16:00:00,464.1,12/12/2023 16:00:00,398.67
12/13/2023 16:00:00,197.96,12/13/2023 16:00:00,470.5,12/13/2023 16:00:00,403.74
12/14/2023 16:00:00,198.11,12/14/2023 16:00:00,472.01,12/14/2023 16:00:00,403.39
12/15/2023 16:00:00,197.57,12/15/2023 16:00:00,469.33,12/15/2023 16:00:00,405.34
12/18/2023 16:00:00,195.89,12/18/2023 16:00:00,471.97,12/18/2023 16:00:00,407.08
12/19/2023 16:00:00,196.94,12/19/2023 16:00:00,474.84,12/19/2023 16:00:00,409.16
12/20/2023 16:00:00,194.83,12/20/2023 16:00:00,468.26,12/20/2023 16:00:00,403.08
12/21/2023 16:00:00,194.68,12/21/2023 16:00:00,472.7,12/21/2023 16:00:00,407.77
12/22/2023 16:00:00,193.6,12/22/2023 16:00:00,473.65,12/22/2023 16:00:00,408.38
12/26/2023 16:00:00,193.05,12/26/2023 16:00:00,475.65,12/26/2023 16:00:00,410.88
12/27/2023 16:00:00,193.15,12/27/2023 16:00:00,476.51,12/27/2023 16:00:00,411.5
12/28/2023 16:00:00,193.58,12/28/2023 16:00:00,476.69,12/28/2023 16:00:00,411.3
12/29/2023 16:00:00,192.53,12/29/2023 16:00:00,475.31,12/29/2023 16:00:00,409.52
